Year,Total correctional population/a,Total/b,Probation,Parole,Total/c,Local jail,Total,State ,Federal
1980,1842100,1338500,1118100,220400,503600,184000,329800,305500,24400
1981,2002600,1445800,1222000,223800,556800,196800,369900,341800,28100
1982,2191700,1579200,1335400,243900,612500,209600,413800,384100,29700
1983,2401400,1754000,1502200,251700,647400,223600,436900,404900,31900
1984,2662500,1979700,1711200,268500,682800,234500,462000,427700,34300
1985,2891800,2147600,1870100,277400,744200,256600,502500,462300,40200
1986,3236100,2421200,2094400,326800,815000,274400,545000,500600,44400
1987,3462900,2604200,2242100,362200,858700,295900,585100,536800,48300
1988,3714800,2764500,2356500,408000,950400,343600,627600,577700,49900
1989,4056200,2977300,2520500,456800,1078900,395600,712400,653200,59200
1990,4350300,3201600,2670200,531400,1148700,405300,773900,708400,65500
1991,4540100,3321000,2738200,582800,1219000,426500,825600,754000,71600
1992,4735600,3440500,2806200,634300,1295200,444600,882500,802200,80300
1993,4884100,3514900,2843400,671500,1369200,459800,969300,879700,89600
1994,5131000,3654300,2964200,690200,1476600,486500,1054700,959700,95000
1995,5382100,3796500,3096300,700200,1585600,507000,1125900,1025600,100300
1996,5531200,3884900,3180200,704700,1646300,518500,1181900,1076400,105500
1997,5701100,3957400,3266700,690800,1743600,567100,1240700,1127700,113000
1998/d,5888100,4122400,3417500,705000,1815200,592500,1307200,1184100,123000
1999/d,6349000,4485300,3772600,712700,1910400,605900,1363700,1228400,135200
2000,6467800,4564900,3839400,725500,1945400,621100,1394200,1248800,145400
2001,6584900,4665700,3934500,731100,1962800,631200,1404000,1247000,157000
2002,6730900,4748100,3995000,753100,2033100,665500,1440100,1276600,163500
2003,6886800,4847300,4073800,773500,2086500,691300,1468600,1295500,173100
2004,6997000,4916300,4140400,775900,2136600,714000,1497100,1316800,180300
2005,7055600,4946600,4162300,784400,2200400,747500,1525900,1338300,187600
2006,7199700,5035000,4236800,798200,2256600,765800,1568700,1375600,193000
2007,7339600,5119000,4293000,826100,2296400,780200,1596800,1397200,199600
2008,7312600,5093400,4271200,826100,2310300,785500,1608300,1407000,201300
2009,7239100,5019400,4199800,824600,2297700,767400,1615500,1407400,208100
2010,7089000,4888500,4055900,840800,2279100,748700,1613800,1404000,209800
2011,6994500,4818300,3973800,855500,2252500,735600,1599000,1382600,216400
2012,6949800,4790700,3944900,858400,2231300,744500,1570400,1352600,217800
2013,6899700,4749800,3912900,849500,2222500,731200,1577000,1361100,215900
2014,6856900,4713200,3868400,857700,2225100,744600,1562300,1351800,210600
2015,6740300,4650900,3789800,870500,2172800,727400,1526600,1330100,196500
2016,6613500,4537100,3673100,874800,2162400,740700,1505400,1316200,189200
